lamb flux f_syn wei
3634.0 0.0 0.90167 -2.0
3635.0 0.0 0.90247 -2.0
3636.0 0.0 0.90171 -2.0
3637.0 0.0 0.89975 -2.0
3638.0 0.0 0.89952 -2.0
3639.0 0.0 0.90205 -2.0
3640.0 0.0 0.90495 -2.0
3641.0 0.0 0.90566 -2.0
3642.0 0.0 0.90388 -2.0
3643.0 0.0 0.90064 -2.0
3644.0 0.0 0.8968 -2.0
3645.0 0.0 0.89287 -2.0
3646.0 0.0 0.88907 -2.0
3647.0 0.0 0.88577 -2.0
3648.0 0.0 0.88391 -2.0
3649.0 0.0 0.88432 -2.0
3650.0 0.91904 0.88702 2.022
3651.0 0.73576 0.89118 1.737
3652.0 0.98327 0.89547 1.477
3653.0 1.09806 0.89873 1.669
3654.0 0.99663 0.90065 1.978
3655.0 0.91219 0.90175 2.065
3656.0 0.97638 0.90302 1.837
3657.0 0.99475 0.90514 1.592
3658.0 1.01431 0.90741 1.906
3659.0 1.05166 0.90815 2.225
3660.0 0.99991 0.90646 2.4
3661.0 0.99858 0.90307 2.13
3662.0 0.86842 0.89937 1.886
3663.0 0.83277 0.89639 2.049
3664.0 0.8697 0.89455 2.356
3665.0 0.89001 0.89378 2.42
3666.0 0.93022 0.89343 2.224
3667.0 0.99186 0.89252 1.841
3668.0 1.02163 0.89061 1.651
3669.0 0.95176 0.88913 2.077
3670.0 0.81642 0.89019 2.296
3671.0 0.66556 0.89368 2.106
3672.0 0.83278 0.89693 2.312
3673.0 0.79074 0.89722 2.037
3674.0 0.96088 0.89392 2.14
3675.0 0.88733 0.8885 2.6
3676.0 0.85498 0.88284 2.794
3677.0 0.94064 0.87797 2.522
3678.0 0.9545 0.87406 2.165
3679.0 0.90233 0.8712 2.024
3680.0 0.98453 0.86999 2.386
3681.0 1.04538 0.87108 2.654
3682.0 0.99096 0.87384 2.777
3683.0 0.9402 0.87624 2.597
3684.0 0.93802 0.87654 2.148
3685.0 0.88244 0.87401 2.412
3686.0 1.04386 0.86917 2.632
3687.0 1.01619 0.86504 2.842
3688.0 0.87114 0.86597 2.959
3689.0 0.9796 0.87292 2.463
3690.0 0.89341 0.88125 2.279
3691.0 0.93378 0.88511 2.748
3692.0 1.10893 0.88356 2.927
3693.0 1.02494 0.88053 3.141
3694.0 0.90866 0.87889 3.047
3695.0 0.90997 0.87759 2.631
3696.0 0.93619 0.87485 2.449
3697.0 1.08509 0.87196 2.684
3698.0 1.04446 0.8729 2.982
3699.0 0.97297 0.88023 3.122
3700.0 0.85191 0.89119 2.941
3701.0 0.85248 0.89769 2.53
3702.0 0.9076 0.89149 2.634
3703.0 1.03 0.87062 2.868
3704.0 0.97862 0.84215 3.184
